Gene Symbol,technical_prompt,uniprot_prompt
ABCA8,HeLa cells with ABCA8 knockdown showing high migration (distance),"ABCA8 normally functions as Catalyzes ATP-dependent import of organic anions such as taurocholate and estrone sulfate (PubMed:12379217). In vitro, also imports ochratoxin A (PubMed:12379217). Also mediates cholesterol efflux independent of apolipoprotein, and plays a role in sphingomyelin production in oligodendrocytes (PubMed:23560799)"
ABCA9,HeLa cells with ABCA9 knockdown showing high migration (distance) and migration (speed),ABCA9 normally functions as Transporter that may play a role in monocyte differentiation and lipid transport and homeostasis
ABCB1,HeLa cells with ABCB1 knockdown showing high migration (distance),"ABCB1 normally functions as Translocates drugs and phospholipids across the membrane. Catalyzes the flop of phospholipids from the cytoplasmic to the exoplasmic leaflet of the apical membrane. Participates mainly to the flop of phosphatidylcholine, phosphatidylethanolamine, beta-D-glucosylceramides and sphingomyelins. Energy-dependent efflux pump responsible for decreased drug accumulation in multidrug-resistant cells"
ABCB10,HeLa cells with ABCB10 knockdown showing high migration (distance),"ABCB10 normally functions as ATP-dependent transporter located in the mitochondrial inner membrane that catalyzes the export of biliverdin from the mitochondrial matrix, and plays a crucial role in hemoglobin synthesis and antioxidative stress (PubMed:22240895, PubMed:24421385, PubMed:26053025, PubMed:28808058, PubMed:34011630). Participates in the early step of the heme biosynthetic process during insertion of iron into protoporphyrin IX (PPIX) (PubMed:24421385, PubMed:28808058). Involved in the stabilization of the iron transporter mitoferrin-1/SLC25A37 (PubMed:19805291). In addition may be involved in mitochondrial unfolded protein response (UPRmt) signaling pathway, although ABCB10 probably does not participate in peptide export from mitochondria (By similarity)"
ABCB11,HeLa cells with ABCB11 knockdown showing high migration (distance) and migration (speed),"ABCB11 normally functions as Catalyzes the transport of the major hydrophobic bile salts, such as taurine and glycine-conjugated cholic acid across the canalicular membrane of hepatocytes in an ATP-dependent manner, therefore participates in hepatic bile acid homeostasis and consequently to lipid homeostasis through regulation of biliary lipid secretion in a bile salts dependent manner (PubMed:15791618, PubMed:16332456, PubMed:18985798, PubMed:19228692, PubMed:20010382, PubMed:20398791, PubMed:22262466, PubMed:24711118, PubMed:29507376, PubMed:32203132). Transports taurine-conjugated bile salts more rapidly than glycine-conjugated bile salts (PubMed:16332456). Also transports non-bile acid compounds, such as pravastatin and fexofenadine in an ATP-dependent manner and may be involved in their biliary excretion (PubMed:15901796, PubMed:18245269)"
ABCB4,HeLa cells with ABCB4 knockdown showing high migration (distance) and migration (speed),
ABCB5,HeLa cells with ABCB5 knockdown showing high migration (distance) and migration (speed),"ABCB5 normally functions as Energy-dependent efflux transporter responsible for decreased drug accumulation in multidrug-resistant cells (By similarity). Specifically present in limbal stem cells, where it plays a key role in corneal development and repair (PubMed:25030174)"
ABCB6,HeLa cells with ABCB6 knockdown showing high migration (distance),"ABCB6 normally functions as ATP-dependent transporter that catalyzes the transport of a broad-spectrum of porphyrins from the cytoplasm to the extracellular space through the plasma membrane or into the vesicle lumen (PubMed:27507172). May also function as an ATP-dependent importer of porphyrins from the cytoplasm into the mitochondria, in turn may participate in the de novo heme biosynthesis regulation and in the coordination of heme and iron homeostasis during phenylhydrazine stress (PubMed:17006453, PubMed:22294697). May play a key role in the early steps of melanogenesis producing PMEL amyloid fibrils (By similarity). In vitro, it confers to cells a resistance to toxic metal such as arsenic and cadmium and against chemotherapeutics agent such as 5-fluorouracil, SN-38 and vincristin (By similarity). In addition may play a role in the transition metal homeostasis (By similarity)"
ABCB7,HeLa cells with ABCB7 knockdown showing high migration (distance),"ABCB7 normally functions as Exports glutathione-coordinated iron-sulfur clusters such as [2Fe-2S]-(GS)4 cluster from the mitochondria to the cytosol in an ATP-dependent manner allowing the assembly of the cytosolic iron-sulfur (Fe/S) cluster-containing proteins and participates in iron homeostasis (By similarity). May play a role in cadmium, zinc and mercury detoxification (PubMed:27734548)"
ABCB8,HeLa cells with ABCB8 knockdown showing high migration (distance),"ABCB8 normally functions as ATP-binding subunit of the mitochondrial ATP-gated potassium channel (mitoK(ATP)). Together with pore-forming subunit CCDC51/MITOK of the mitoK(ATP) channel, mediates ATP-dependent potassium currents across the mitochondrial inner membrane. An increase in ATP intracellular levels closes the channel, inhibiting K(+) transport, whereas a decrease in ATP levels enhances K(+) uptake in the mitochondrial matrix (By similarity). Plays a role in mitochondrial iron transport (By similarity). Required for maintenance of normal cardiac function, possibly by influencing mitochondrial iron export and regulating the maturation of cytosolic iron sulfur cluster-containing enzymes (By similarity)"
ABCB9,HeLa cells with ABCB9 knockdown showing low migration (distance),"ABCB9 normally functions as ATP-dependent low-affinity peptide transporter which translocates a broad spectrum of peptides from the cytosol to the lysosomal lumen for degradation. Displays a broad peptide length specificity from 6-mer up to at least 59-mer peptides with an optimum of 23-mers. Binds and transports smaller and larger peptides with the same affinity. Favors positively charged, aromatic or hydrophobic residues in the N- and C-terminal positions whereas negatively charged residues as well as asparagine and methionine are not favored"
ABCC1,HeLa cells with ABCC1 knockdown showing low migration (distance),"ABCC1 normally functions as Mediates export of organic anions and drugs from the cytoplasm. Mediates ATP-dependent transport of glutathione and glutathione conjugates, leukotriene C4, estradiol-17-beta-o-glucuronide, methotrexate, antiviral drugs and other xenobiotics. Confers resistance to anticancer drugs by decreasing accumulation of drug in cells, and by mediating ATP- and GSH-dependent drug export. Hydrolyzes ATP with low efficiency (PubMed:15129170). Catalyzes the export of sphingosine 1-phosphate from mast cells independently of their degranulation (PubMed:17050692). Participates in inflammatory response by allowing export of leukotriene C4 from leukotriene C4-synthesizing cells (By similarity). Exports S-geranylgeranyl-glutathione (GGG) in lymphoid cells and stromal compartments of lymphoid organs. ABCC1 (via extracellular transport) with GGT5 (via GGG catabolism) establish GGG gradients within lymphoid tissues to position P2RY8-positive lymphocytes at germinal centers in lymphoid follicles and restrict their chemotactic transmigration from blood vessels to the bone marrow parenchyma (By similarity). Mediates basolateral export of GSH-conjugated R- and S-prostaglandin A2 diastereomers in polarized epithelial cells (By similarity)"
ABCC10,HeLa cells with ABCC10 knockdown showing high migration (distance),"ABCC10 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds, and xenobiotics from cells. Lipophilic anion transporter that mediates ATP-dependent transport of glucuronide conjugates such as estradiol-17-beta-o-glucuronide and GSH conjugates such as leukotriene C4 (LTC4). Does not transport glycocholic acid, taurocholic acid, MTX, folic acid, cAMP, or cGMP. May contribute to regulate the transport of organic compounds in testes across the blood-testis-barrier (By similarity)"
ABCC11,HeLa cells with ABCC11 knockdown showing high migration (distance),"ABCC11 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds and xenobiotics from cells. Plays a role in physiological processes involving bile acids, conjugated steroids and cyclic nucleotides, including cAMP and cGMP (PubMed:12764137, PubMed:15537867). Mediates the ATP-dependent efflux of a range of physiological lipophilic anions, including the glutathione S-conjugates leukotriene C4 and dinitrophenyl S-glutathione, steroid sulfates, such as dehydroepiandrosterone 3-sulfate (DHEAS) and estrone 3-sulfate, glucuronides such as estradiol 17-beta-D-glucuronide (E(2)17betaG), the monoanionic bile acids glycocholate and taurocholate, and methotrexate (PubMed:15537867, PubMed:16359813, PubMed:25896536). Plays a role in the transport of earwax components (PubMed:16444273, PubMed:19383836). Participates in the secretion of odorants and their precursors from the apocrine sweat glands, including the secretion of glutamine conjugates, as well as the Cys-Gly-(S) conjugates of 3-methyl-3-sulfanyl-hexanol (PubMed:19710689). Involved in the cellular extrusion of nucleotide analogs, hence confering resistance to various drugs, including clinically relevant drugs such as 5-fluorouracil (5-FU) and methotrexate (PubMed:12764137, PubMed:15537867, PubMed:25896536)"
ABCC12,HeLa cells with ABCC12 knockdown showing high migration (distance),"ABCC12 normally functions as Probable transporter, its substrate specificity is unknown"
ABCC13,,
ABCC2,HeLa cells with ABCC2 knockdown showing low migration (distance),"ABCC2 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that binds and hydrolyzes ATP to enable active transport of various substrates including many drugs, toxicants and endogenous compound across cell membranes. Transports a wide variety of conjugated organic anions such as sulfate-, glucuronide- and glutathione (GSH)-conjugates of endo- and xenobiotics substrates. Mediates hepatobiliary excretion of mono- and bis-glucuronidated bilirubin molecules and therefore play an important role in bilirubin detoxification. Mediates also hepatobiliary excretion of others glucuronide conjugates such as 17beta-estradiol 17-glucosiduronic acid and leukotriene C4. Transports sulfated bile salt such as taurolithocholate sulfate. Transports various anticancer drugs, such as anthracycline, vinca alkaloid and methotrexate and HIV-drugs such as protease inhibitors"
ABCC3,HeLa cells with ABCC3 knockdown showing high migration (distance) and migration (speed),"ABCC3 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that binds and hydrolyzes ATP to enable active transport of various substrates including many drugs, toxicants and endogenous compound across cell membranes. Transports glucuronide conjugates such as bilirubin diglucuronide, estradiol-17-beta-o-glucuronide and GSH conjugates such as leukotriene C4 (LTC4) (By similarity). Transports also various bile salts (taurocholate, glycocholate, taurochenodeoxycholate-3-sulfate, taurolithocholate- 3-sulfate) (By similarity). Does not contribute substantially to bile salt physiology but provides an alternative route for the export of bile acids and glucuronides from cholestatic hepatocytes (PubMed:15814571, PubMed:16225954). May contribute to regulate the transport of organic compounds in testes across the blood-testis-barrier (By similarity)"
ABCC4,HeLa cells with ABCC4 knockdown showing high migration (distance),"ABCC4 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds and xenobiotics from cells. Transports a range of endogenous molecules that have a key role in cellular communication and signaling, including cyclic nucleotides such as cyclic AMP (cAMP) and cyclic GMP (cGMP), bile acids, steroid conjugates, urate, and prostaglandins. Mediates also the ATP-dependent efflux of glutathione conjugates such as leukotriene C4 (LTC4) and leukotriene B4 (LTB4). The presence of GSH is necessary for the ATP-dependent transport of LTB4, whereas GSH is not required for the transport of LTC4. Mediates the cotransport of bile acids with reduced glutathione (GSH). Transports a wide range of drugs and their metabolites, including anticancer, antiviral and antibiotics molecules"
ABCC5,HeLa cells with ABCC5 knockdown showing high migration (distance) and migration (speed),"ABCC5 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds, and xenobiotics from cells. Mediates ATP-dependent transport of endogenous metabolites such as cAMP and cGMP, folic acid and N-lactoyl-amino acids (in vitro) (PubMed:10893247, PubMed:12637526, PubMed:12695538, PubMed:15899835, PubMed:17229149, PubMed:25964343). Acts also as a general glutamate conjugate and analog transporter that can limit the brain levels of endogenous metabolites, drugs, and toxins (PubMed:26515061). Confers resistance to the antiviral agent PMEA (PubMed:12695538). Able to transport several anticancer drugs including methotrexate, and nucleotide analogs in vitro, however it does with low affinity, thus the exact role of ABCC5 in mediating resistance still needs to be elucidated (PubMed:10840050, PubMed:12435799, PubMed:12695538, PubMed:15899835). Acts as a heme transporter required for the translocation of cytosolic heme to the secretory pathway (PubMed:24836561). May play a role in energy metabolism by regulating the glucagon-like peptide 1 (GLP-1) secretion from enteroendocrine cells (By similarity)"
ABCC6,HeLa cells with ABCC6 knockdown showing high migration (distance),"ABCC6 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds, and xenobiotics from cells. Mediates ATP-dependent transport of glutathione conjugates such as leukotriene-c4 (LTC4) and N-ethylmaleimide S-glutathione (NEM-GS) (in vitro), and an anionic cyclopentapeptide endothelin antagonist, BQ-123. May contribute to regulate the transport of organic compounds in testes across the blood-testis-barrier (By similarity)"
ABCC8,HeLa cells with ABCC8 knockdown showing low migration (distance),"ABCC8 normally functions as Regulator subunit of pancreatic ATP-sensitive potassium channel (KATP), playing a major role in the regulation of insulin release. In pancreatic cells, it forms KATP channels with KCNJ11; KCNJ11 forms the channel pore while ABCC8 is required for activation and regulation"
ABCC9,HeLa cells with ABCC9 knockdown showing high migration (distance) and migration (speed),ABCC9 normally functions as Subunit of ATP-sensitive potassium channels (KATP). Can form cardiac and smooth muscle-type KATP channels with KCNJ11. KCNJ11 forms the channel pore while ABCC9 is required for activation and regulation (By similarity). Can form a sulfonylurea-sensitive but ATP-insensitive potassium channel with KCNJ8 (PubMed:9130167)
ABCD1,HeLa cells with ABCD1 knockdown showing high migration (distance) and migration (speed),"ABCD1 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family involved in the transport of very long chain fatty acid (VLCFA)-CoA from the cytosol to the peroxisome lumen (PubMed:12176987). Coupled to the ATP-dependent transporter activity has also a fatty acyl-CoA thioesterase activity (ACOT) and hydrolyzes VLCFA-CoA into VLCFA prior their ATP-dependent transport into peroxisomes, the ACOT activity is essential during this transport process (By similarity). Thus, plays a role in regulation of VLCFAs and energy metabolism namely, in the degradation and biosynthesis of fatty acids by beta-oxidation, mitochondrial function and microsomal fatty acid elongation (PubMed:25043761). Involved in several processes; namely, controls the active myelination phase by negatively regulating the microsomal fatty acid elongation activity and may also play a role in axon and myelin maintenance. Controls also the cellular response to oxidative stress by regulating mitochondrial functions such as mitochondrial oxidative phosphorylation and depolarization. And finally controls the inflammatory response by positively regulating peroxisomal beta-oxidation of VLCFAs (By similarity)"
ABCD2,HeLa cells with ABCD2 knockdown showing high migration (distance),"ABCD2 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family involved in the transport of very long chain fatty acid (VLCFA)-CoA from the cytosol to the peroxisome lumen (By similarity). Like ABCD1 seems to have fatty acyl-CoA thioesterase (ACOT) and ATPase activities, according to this model, VLCFA-CoA as free VLCFA is transpoted in an ATP-dependent manner into peroxisomes after the hydrolysis of VLCFA-CoA mediated by the ACOT activity of ABCD2 (By similarity). Shows overlapping substrate specificities with ABCD1 toward saturated fatty acids (FA) and monounsaturated FA (MUFA) but has a distinct substrate preference for shorter VLCFA (C22:0) and polyunsaturated fatty acid (PUFA) such as C22:6-CoA and C24:6-CoA (in vitro) (By similarity). Thus, may play a role in regulation of VLCFAs and energy metabolism namely, in the degradation and biosynthesis of fatty acids by beta-oxidation (PubMed:16223892, PubMed:18854420)"
ABCD3,HeLa cells with ABCD3 knockdown showing high migration (distance) and migration (speed),
ABCD4,HeLa cells with ABCD4 knockdown showing high migration (distance) and migration (speed),ABCD4 normally functions as Lysosomal membrane protein that transports cobalamin (Vitamin B12) from the lysosomal lumen to the cytosol in an ATP-dependent manner. Targeted by LMBRD1 lysosomal chaperone from the endoplasmic reticulum to the lysosomal membrane. Then forms a complex with lysosomal chaperone LMBRD1 and cytosolic MMACHC to transport cobalamin across the lysosomal membrane
ABCE1,HeLa cells with ABCE1 knockdown showing low migration (distance),"ABCE1 normally functions as Nucleoside-triphosphatase (NTPase) involved in ribosome recycling by mediating ribosome disassembly (By similarity). Able to hydrolyze ATP, GTP, UTP and CTP (By similarity). Splits ribosomes into free 60S subunits and tRNA- and mRNA-bound 40S subunits (By similarity). Acts either after canonical termination facilitated by release factors (ETF1/eRF1) or after recognition of stalled and vacant ribosomes by mRNA surveillance factors (PELO/Pelota) (By similarity). Involved in the No-Go Decay (NGD) pathway: recruited to stalled ribosomes by the Pelota-HBS1L complex, and drives the disassembly of stalled ribosomes, followed by degradation of damaged mRNAs as part of the NGD pathway (By similarity). Also plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA (By similarity). As part of the PINK1-regulated signaling, ubiquitinated by CNOT4 upon mitochondria damage; this modification generates polyubiquitin signals that recruit autophagy receptors to the mitochondrial outer membrane and initiate mitophagy (By similarity). RNASEL-specific protein inhibitor which antagonizes the binding of 2-5A (5'-phosphorylated 2',5'-linked oligoadenylates) to RNASEL (PubMed:10866653). Negative regulator of the anti-viral effect of the interferon-regulated 2-5A/RNASEL pathway (By similarity)"
ABCF1,"HeLa cells with ABCF1 knockdown showing high migration (distance), migration (speed) and increased proliferation",ABCF1 normally functions as Required for efficient Cap- and IRES-mediated mRNA translation initiation. Not involved in the ribosome biogenesis (By similarity)
ABCF2,,
ABCF3,HeLa cells with ABCF3 knockdown showing high migration (distance),ABCF3 normally functions as Displays an antiviral effect against flaviviruses in the presence of OAS1B
ABCG1,HeLa cells with ABCG1 knockdown showing high migration (distance),"ABCG1 normally functions as ABC transporter controlling the release of volatile organic compounds (VOCs), including floral volatile benzenoids and phenylpropanoids (FVBP), in flowers of fragrant cultivars (e.g. cv. Mitchell and cv. V26) (PubMed:22345641, PubMed:28663500). This scent, mostly produced in the evening and night by the petals, attracts the pollinators (e.g. the night-active hawkmoth pollinator Manduca sexta) (PubMed:22345641)"
ABCG2,HeLa cells with ABCG2 knockdown showing high migration (distance) and migration (speed),"ABCG2 normally functions as Broad substrate specificity ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes a wide variety of physiological compounds, dietary toxins and xenobiotics from cells. Involved in porphyrin homeostasis, mediating the export of protoporphyrin IX (PPIX) from both mitochondria to cytosol and cytosol to extracellular space, it also functions in the cellular export of heme. Also mediates the efflux of sphingosine-1-P from cells. Acts as a urate exporter functioning in both renal and extrarenal urate excretion (By similarity). In kidney, it also functions as a physiological exporter of the uremic toxin indoxyl sulfate (By similarity). Also involved in the excretion of steroids like estrone 3-sulfate/E1S, 3beta-sulfooxy-androst-5-en-17-one/DHEAS, and other sulfate conjugates (By similarity). Mediates the secretion of the riboflavin and biotin vitamins into milk. Extrudes pheophorbide a, a phototoxic porphyrin catabolite of chlorophyll, reducing its bioavailability (By similarity). Plays an important role in the exclusion of xenobiotics from the brain. It confers to cells a resistance to multiple drugs and other xenobiotics including mitoxantrone, pheophorbide, camptothecin, methotrexate, azidothymidine, and the anthracyclines daunorubicin and doxorubicin, through the control of their efflux (By similarity). In placenta, it limits the penetration of drugs from the maternal plasma into the fetus. May play a role in early stem cell self-renewal by blocking differentiation (By similarity)"
ABCG4,HeLa cells with ABCG4 knockdown showing high migration (distance) and migration (speed),"ABCG4 normally functions as ATP-dependent transporter of the ATP-binding cassette (ABC) family that may be involved in the cellular efflux of sterols, in particular cholesterol and desmosterol (a cholesterol precursor), to high-density lipoprotein (HDL) (By similarity). May play an important role in the removal of amyloid-beta peptides from brain,in a process that can be antagonized by desmosterol. However it is unclear whether ABCG4 can directly transport amyloid-beta peptides or whether peptide export may be facilitated due to changes in the membrane lipid environment (By similarity). Induces apoptosis in various cells (By similarity)"
ABCG5,,ABCG5 normally functions as ABCG5 and ABCG8 form an obligate heterodimer that mediates Mg(2+)- and ATP-dependent sterol transport across the cell membrane. Plays an essential role in the selective transport of dietary plant sterols and cholesterol in and out of the enterocytes and in the selective sterol excretion by the liver into bile. Required for normal sterol homeostasis. The heterodimer with ABCG8 has ATPase activity
ABCG8,HeLa cells with ABCG8 knockdown showing high migration (distance),"ABCG8 normally functions as ABCG5 and ABCG8 form an obligate heterodimer that mediates Mg(2+)- and ATP-dependent sterol transport across the cell membrane (PubMed:16352607, PubMed:16867993, PubMed:18402465). Plays an essential role in the selective transport of the dietary cholesterol in and out of the enterocytes and in the selective sterol excretion by the liver into bile (PubMed:12444248, PubMed:14504269, PubMed:14657202, PubMed:25378657). Plays an important role in preventing the accumulation of dietary plant sterols in the body (PubMed:12444248, PubMed:14657202). Required for normal sterol homeostasis (PubMed:12444248, PubMed:14657202). The heterodimer with ABCG5 has ATPase activity (PubMed:16352607, PubMed:16867993)"
ACP1,HeLa cells with ACP1 knockdown showing high migration (distance),"ACP1 normally functions as Acts on tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates"
ACP2,HeLa cells with ACP2 knockdown showing low migration (distance),
ACP5,HeLa cells with ACP5 knockdown showing high migration (distance) and migration (speed),"ACP5 normally functions as Involved in osteopontin/bone sialoprotein dephosphorylation. Its expression seems to increase in certain pathological states such as Gaucher and Hodgkin diseases, the hairy cell, the B-cell, and the T-cell leukemias"
ACP6,HeLa cells with ACP6 knockdown showing high migration (distance),"ACP6 normally functions as Hydrolyzes lysophosphatidic acid (LPA) containing a medium length fatty acid chain to the corresponding monoacylglycerol. Has highest activity with lysophosphatidic acid containing myristate (C14:0), monounsaturated oleate (C18:1) or palmitate (C16:0), and lower activity with C18:0 and C6:0 lysophosphatidic acid"
ACPP,,ACPP normally functions as Carrier of the growing fatty acid chain in fatty acid biosynthesis
ACPT,HeLa cells with ACPT knockdown showing high migration (distance),
ACR,HeLa cells with ACR knockdown showing high migration (distance) and migration (speed),"ACR normally functions as Acrosin is the major protease of mammalian spermatozoa. It is a serine protease of trypsin-like cleavage specificity, it is synthesized in a zymogen form, proacrosin and stored in the acrosome"
