plate_well_id,plate,well,proliferation_score,proliferation_category,prompt,video_path
LT0003_15-00222_01,LT0003_15,222,3.0,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00222_01.mp4
LT0003_15-00358_01,LT0003_15,358,2.7042,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00358_01.mp4
LT0003_15-00233_01,LT0003_15,233,2.3125,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00233_01.mp4
LT0003_15-00349_01,LT0003_15,349,2.913,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00349_01.mp4
LT0003_15-00341_01,LT0003_15,341,3.9091,high,<ALEXANDER> Time-lapse microscopy video with high proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00341_01.mp4
LT0003_15-00075_01,LT0003_15,75,2.9344,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00075_01.mp4
LT0003_15-00055_01,LT0003_15,55,2.4545,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00055_01.mp4
LT0003_15-00216_01,LT0003_15,216,2.4615,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00216_01.mp4
LT0003_15-00057_01,LT0003_15,57,2.95,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00057_01.mp4
LT0003_15-00273_01,LT0003_15,273,2.2162,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00273_01.mp4
LT0003_15-00265_01,LT0003_15,265,2.9167,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00265_01.mp4
LT0003_15-00128_01,LT0003_15,128,2.4118,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00128_01.mp4
LT0003_15-00032_01,LT0003_15,32,3.0192,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00032_01.mp4
LT0003_15-00218_01,LT0003_15,218,2.9388,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00218_01.mp4
LT0003_15-00215_01,LT0003_15,215,2.9138,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00215_01.mp4
LT0003_15-00305_01,LT0003_15,305,2.5938,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00305_01.mp4
LT0003_15-00367_01,LT0003_15,367,2.1667,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00367_01.mp4
LT0003_15-00110_01,LT0003_15,110,2.0597,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00110_01.mp4
LT0003_15-00064_01,LT0003_15,64,2.3818,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00064_01.mp4
LT0003_15-00029_01,LT0003_15,29,2.3175,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00029_01.mp4
LT0003_15-00162_01,LT0003_15,162,2.2679,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00162_01.mp4
LT0003_15-00114_01,LT0003_15,114,3.5,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00114_01.mp4
LT0003_15-00342_01,LT0003_15,342,3.4167,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00342_01.mp4
LT0003_15-00344_01,LT0003_15,344,2.1316,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00344_01.mp4
LT0003_15-00019_01,LT0003_15,19,2.4746,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00019_01.mp4
LT0003_15-00376_01,LT0003_15,376,2.4068,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00376_01.mp4
LT0003_15-00052_01,LT0003_15,52,2.2632,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00052_01.mp4
LT0003_15-00030_01,LT0003_15,30,2.197,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00030_01.mp4
LT0003_15-00177_01,LT0003_15,177,2.8485,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00177_01.mp4
LT0003_15-00095_01,LT0003_15,95,1.7576,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00095_01.mp4
LT0003_15-00096_01,LT0003_15,96,2.0943,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00096_01.mp4
LT0003_15-00088_01,LT0003_15,88,1.8222,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00088_01.mp4
LT0003_15-00122_01,LT0003_15,122,2.902,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00122_01.mp4
LT0003_15-00161_01,LT0003_15,161,2.5625,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00161_01.mp4
LT0003_15-00080_01,LT0003_15,80,1.5577,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00080_01.mp4
LT0003_15-00310_01,LT0003_15,310,2.2703,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00310_01.mp4
LT0003_15-00105_01,LT0003_15,105,3.0244,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00105_01.mp4
LT0003_15-00079_01,LT0003_15,79,2.1429,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00079_01.mp4
LT0003_15-00018_01,LT0003_15,18,2.1333,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00018_01.mp4
LT0003_15-00377_01,LT0003_15,377,3.0,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00377_01.mp4
LT0003_15-00009_01,LT0003_15,9,2.3944,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00009_01.mp4
LT0003_15-00212_01,LT0003_15,212,1.8864,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00212_01.mp4
LT0003_15-00068_01,LT0003_15,68,2.0597,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00068_01.mp4
LT0003_15-00003_01,LT0003_15,3,2.7407,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00003_01.mp4
LT0003_15-00337_01,LT0003_15,337,2.7963,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00337_01.mp4
LT0003_15-00299_01,LT0003_15,299,3.1622,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00299_01.mp4
LT0003_15-00078_01,LT0003_15,78,2.3235,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00078_01.mp4
LT0003_15-00145_01,LT0003_15,145,1.6452,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00145_01.mp4
LT0003_15-00237_01,LT0003_15,237,2.125,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00237_01.mp4
LT0003_15-00366_01,LT0003_15,366,2.2564,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00366_01.mp4
LT0003_15-00320_01,LT0003_15,320,2.7857,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00320_01.mp4
LT0003_15-00127_01,LT0003_15,127,1.9744,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00127_01.mp4
LT0003_15-00223_01,LT0003_15,223,3.0857,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00223_01.mp4
LT0003_15-00338_01,LT0003_15,338,2.1458,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00338_01.mp4
LT0003_15-00235_01,LT0003_15,235,2.0,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00235_01.mp4
LT0003_15-00124_01,LT0003_15,124,2.0926,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00124_01.mp4
LT0003_15-00323_01,LT0003_15,323,2.5424,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00323_01.mp4
LT0003_15-00355_01,LT0003_15,355,2.9375,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00355_01.mp4
LT0003_15-00208_01,LT0003_15,208,2.0794,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00208_01.mp4
LT0003_15-00292_01,LT0003_15,292,2.7708,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00292_01.mp4
LT0003_15-00082_01,LT0003_15,82,3.2647,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00082_01.mp4
LT0003_15-00042_01,LT0003_15,42,2.0263,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00042_01.mp4
LT0003_15-00130_01,LT0003_15,130,2.54,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00130_01.mp4
LT0003_15-00381_01,LT0003_15,381,2.6842,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00381_01.mp4
LT0003_15-00133_01,LT0003_15,133,2.2344,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00133_01.mp4
LT0003_15-00227_01,LT0003_15,227,1.8795,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00227_01.mp4
LT0003_15-00125_01,LT0003_15,125,1.8333,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00125_01.mp4
LT0003_15-00165_01,LT0003_15,165,1.85,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00165_01.mp4
LT0003_15-00356_01,LT0003_15,356,2.2549,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00356_01.mp4
LT0003_15-00149_01,LT0003_15,149,1.8519,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00149_01.mp4
LT0003_15-00311_01,LT0003_15,311,2.3636,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00311_01.mp4
LT0003_15-00028_01,LT0003_15,28,2.3733,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00028_01.mp4
LT0003_15-00011_01,LT0003_15,11,2.3833,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00011_01.mp4
LT0003_15-00012_01,LT0003_15,12,1.7907,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00012_01.mp4
LT0003_15-00315_01,LT0003_15,315,2.4255,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00315_01.mp4
LT0003_15-00246_01,LT0003_15,246,2.3793,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00246_01.mp4
LT0003_15-00308_01,LT0003_15,308,2.9688,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00308_01.mp4
LT0003_15-00204_01,LT0003_15,204,2.7013,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00204_01.mp4
LT0003_15-00306_01,LT0003_15,306,4.3235,high,<ALEXANDER> Time-lapse microscopy video with high proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00306_01.mp4
LT0003_15-00242_01,LT0003_15,242,2.7778,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00242_01.mp4
LT0003_15-00262_01,LT0003_15,262,2.4242,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00262_01.mp4
LT0003_15-00209_01,LT0003_15,209,3.1364,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00209_01.mp4
LT0003_15-00039_01,LT0003_15,39,2.5517,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00039_01.mp4
LT0003_15-00281_01,LT0003_15,281,2.3,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00281_01.mp4
LT0003_15-00071_01,LT0003_15,71,2.6623,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00071_01.mp4
LT0003_15-00288_01,LT0003_15,288,1.5854,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00288_01.mp4
LT0003_15-00202_01,LT0003_15,202,3.2982,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00202_01.mp4
LT0003_15-00383_01,LT0003_15,383,2.2414,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00383_01.mp4
LT0003_15-00023_01,LT0003_15,23,2.7963,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00023_01.mp4
LT0003_15-00089_01,LT0003_15,89,3.0351,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00089_01.mp4
LT0003_15-00345_01,LT0003_15,345,1.9615,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00345_01.mp4
LT0003_15-00001_01,LT0003_15,1,2.2683,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00001_01.mp4
LT0003_15-00365_01,LT0003_15,365,3.5,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00365_01.mp4
LT0003_15-00153_01,LT0003_15,153,2.8824,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00153_01.mp4
LT0003_15-00083_01,LT0003_15,83,2.4697,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00083_01.mp4
LT0003_15-00113_01,LT0003_15,113,2.1429,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00113_01.mp4
LT0003_15-00238_01,LT0003_15,238,1.8,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00238_01.mp4
LT0003_15-00372_01,LT0003_15,372,2.6897,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00372_01.mp4
LT0003_15-00207_01,LT0003_15,207,2.3846,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00207_01.mp4
LT0003_15-00093_01,LT0003_15,93,2.6341,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00093_01.mp4
LT0003_15-00245_01,LT0003_15,245,2.26,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00245_01.mp4
LT0003_15-00045_01,LT0003_15,45,2.8958,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00045_01.mp4
LT0003_15-00241_01,LT0003_15,241,2.9861,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00241_01.mp4
LT0003_15-00375_01,LT0003_15,375,3.7805,high,<ALEXANDER> Time-lapse microscopy video with high proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00375_01.mp4
LT0003_15-00016_01,LT0003_15,16,3.1972,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00016_01.mp4
LT0003_15-00378_01,LT0003_15,378,2.1136,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00378_01.mp4
LT0003_15-00121_01,LT0003_15,121,2.8507,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00121_01.mp4
LT0003_15-00261_01,LT0003_15,261,2.15,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00261_01.mp4
LT0003_15-00252_01,LT0003_15,252,1.8108,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00252_01.mp4
LT0003_15-00379_01,LT0003_15,379,2.5758,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00379_01.mp4
LT0003_15-00195_01,LT0003_15,195,2.4643,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00195_01.mp4
LT0003_15-00183_01,LT0003_15,183,2.1507,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00183_01.mp4
LT0003_15-00239_01,LT0003_15,239,2.7234,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00239_01.mp4
LT0003_15-00115_01,LT0003_15,115,2.44,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00115_01.mp4
LT0003_15-00106_01,LT0003_15,106,2.7451,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00106_01.mp4
LT0003_15-00268_01,LT0003_15,268,2.3333,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00268_01.mp4
LT0003_15-00253_01,LT0003_15,253,2.9873,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00253_01.mp4
