plate,well_number,well,cell_death_label,migration_speed_label,proliferation_label,cell_death_score,migration_speed_score,proliferation_score,extreme_count,video_path,video_filename,ch5_path,initial_cell_count,initial_cell_count_label
LT0003_40,21,A21,LOW,HIGH,HIGH,-0.004742,1.269188,1.674031,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00021_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00021_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00021_01.ch5,39,LOW
LT0003_40,23,A23,MED,HIGH,LOW,0.006846,1.010092,-0.928533,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00023_01-cd-MED_ms-HIGH_pr-LOW.mp4,LT0003_40-00023_01-cd-MED_ms-HIGH_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00023_01.ch5,92,MED
LT0003_40,31,B7,LOW,HIGH,HIGH,-0.004742,1.263714,0.674031,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00031_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00031_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00031_01.ch5,180,HIGH
LT0003_40,32,B8,LOW,HIGH,MED,-0.005442,1.346347,0.451809,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00032_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00032_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00032_01.ch5,45,MED
LT0003_40,36,B12,MED,HIGH,HIGH,0.006199,1.857931,0.740698,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00036_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00036_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00036_01.ch5,96,MED
LT0003_40,40,B16,LOW,HIGH,HIGH,-0.004953,1.320761,2.235007,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00040_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00040_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00040_01.ch5,108,MED
LT0003_40,42,B18,HIGH,MED,LOW,0.049409,0.205473,-0.705279,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00042_01-cd-HIGH_ms-MED_pr-LOW.mp4,LT0003_40-00042_01-cd-HIGH_ms-MED_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00042_01.ch5,41,LOW
LT0003_40,43,B19,MED,LOW,LOW,0.013826,-0.459817,-0.85538,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00043_01-cd-MED_ms-LOW_pr-LOW.mp4,LT0003_40-00043_01-cd-MED_ms-LOW_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00043_01.ch5,45,MED
LT0003_40,44,B20,LOW,LOW,MED,-0.002113,-0.463362,0.224031,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00044_01-cd-LOW_ms-LOW_pr-MED.mp4,LT0003_40-00044_01-cd-LOW_ms-LOW_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00044_01.ch5,48,MED
LT0003_40,45,B21,MED,HIGH,LOW,0.037932,1.289986,-0.897397,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00045_01-cd-MED_ms-HIGH_pr-LOW.mp4,LT0003_40-00045_01-cd-MED_ms-HIGH_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00045_01.ch5,47,MED
LT0003_40,47,B23,LOW,MED,HIGH,-0.00359,0.555976,1.001618,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00047_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00047_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00047_01.ch5,76,MED
LT0003_40,50,C2,LOW,MED,HIGH,-0.002726,0.112446,1.289416,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00050_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00050_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00050_01.ch5,56,MED
LT0003_40,55,C7,LOW,HIGH,MED,-0.004742,2.197769,0.556384,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00055_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00055_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00055_01.ch5,67,MED
LT0003_40,56,C8,MED,HIGH,HIGH,0.00537,1.289568,1.034031,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00056_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00056_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00056_01.ch5,84,MED
LT0003_40,72,C24,LOW,HIGH,HIGH,-0.004705,1.453395,0.904801,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00072_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00072_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00072_01.ch5,61,MED
LT0003_40,74,D2,LOW,LOW,MED,-0.005469,-0.167387,-0.352284,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00074_01-cd-LOW_ms-LOW_pr-MED.mp4,LT0003_40-00074_01-cd-LOW_ms-LOW_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00074_01.ch5,44,LOW
LT0003_40,75,D3,MED,LOW,HIGH,0.008203,-0.437822,1.085796,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00075_01-cd-MED_ms-LOW_pr-HIGH.mp4,LT0003_40-00075_01-cd-MED_ms-LOW_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00075_01.ch5,69,MED
LT0003_40,78,D6,LOW,MED,LOW,-0.006275,0.666512,-0.770413,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00078_01-cd-LOW_ms-MED_pr-LOW.mp4,LT0003_40-00078_01-cd-LOW_ms-MED_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00078_01.ch5,42,LOW
LT0003_40,80,D8,LOW,LOW,MED,-0.006311,-0.201029,-0.125969,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00080_01-cd-LOW_ms-LOW_pr-MED.mp4,LT0003_40-00080_01-cd-LOW_ms-LOW_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00080_01.ch5,28,LOW
LT0003_40,83,D11,LOW,HIGH,HIGH,-0.002838,2.159552,1.280092,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00083_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00083_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00083_01.ch5,66,MED
LT0003_40,85,D13,LOW,MED,HIGH,-0.006025,0.159295,0.85713,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00085_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00085_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00085_01.ch5,94,MED
LT0003_40,88,D16,LOW,MED,HIGH,-0.004491,0.709617,1.340698,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00088_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00088_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00088_01.ch5,78,MED
LT0003_40,89,D17,MED,HIGH,HIGH,0.00884,1.42743,0.951809,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00089_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00089_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00089_01.ch5,51,MED
LT0003_40,106,E10,LOW,MED,HIGH,-0.002777,0.681588,0.852603,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00106_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00106_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00106_01.ch5,45,MED
LT0003_40,109,E13,LOW,MED,HIGH,-0.00497,0.045674,0.758777,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00109_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00109_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00109_01.ch5,72,MED
LT0003_40,110,E14,MED,HIGH,HIGH,0.002526,1.441216,1.016137,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00110_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00110_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00110_01.ch5,47,MED
LT0003_40,111,E15,HIGH,HIGH,MED,0.055031,2.702641,-0.575969,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00111_01-cd-HIGH_ms-HIGH_pr-MED.mp4,LT0003_40-00111_01-cd-HIGH_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00111_01.ch5,52,MED
LT0003_40,112,E16,MED,HIGH,LOW,0.040174,3.301455,-0.888469,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00112_01-cd-MED_ms-HIGH_pr-LOW.mp4,LT0003_40-00112_01-cd-MED_ms-HIGH_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00112_01.ch5,27,LOW
LT0003_40,120,E24,LOW,LOW,HIGH,-0.005261,-0.140503,0.896254,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00120_01-cd-LOW_ms-LOW_pr-HIGH.mp4,LT0003_40-00120_01-cd-LOW_ms-LOW_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00120_01.ch5,33,LOW
LT0003_40,128,F8,HIGH,MED,LOW,0.05201,0.040276,-0.784302,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00128_01-cd-HIGH_ms-MED_pr-LOW.mp4,LT0003_40-00128_01-cd-HIGH_ms-MED_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00128_01.ch5,27,LOW
LT0003_40,134,F14,HIGH,HIGH,MED,0.055715,1.400857,0.303661,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00134_01-cd-HIGH_ms-HIGH_pr-MED.mp4,LT0003_40-00134_01-cd-HIGH_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00134_01.ch5,36,LOW
LT0003_40,136,F16,HIGH,HIGH,LOW,0.049273,2.279205,-0.749045,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00136_01-cd-HIGH_ms-HIGH_pr-LOW.mp4,LT0003_40-00136_01-cd-HIGH_ms-HIGH_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00136_01.ch5,70,MED
LT0003_40,144,F24,HIGH,MED,LOW,0.132268,-0.015963,-0.675969,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00144_01-cd-HIGH_ms-MED_pr-LOW.mp4,LT0003_40-00144_01-cd-HIGH_ms-MED_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00144_01.ch5,29,LOW
LT0003_40,157,G13,MED,HIGH,HIGH,-0.001249,1.351163,1.354883,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00157_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00157_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00157_01.ch5,72,MED
LT0003_40,159,G15,MED,HIGH,HIGH,0.005167,1.746028,0.74546,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00159_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00159_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00159_01.ch5,62,MED
LT0003_40,168,G24,MED,LOW,HIGH,-1e-05,-0.44814,2.19255,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00168_01-cd-MED_ms-LOW_pr-HIGH.mp4,LT0003_40-00168_01-cd-MED_ms-LOW_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00168_01.ch5,34,LOW
LT0003_40,169,H1,LOW,HIGH,HIGH,-0.002308,1.263457,0.746759,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00169_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00169_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00169_01.ch5,76,MED
LT0003_40,172,H4,MED,HIGH,HIGH,0.003579,1.477937,1.299031,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00172_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00172_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00172_01.ch5,88,MED
LT0003_40,175,H7,HIGH,MED,HIGH,0.05327,-0.06186,0.726663,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00175_01-cd-HIGH_ms-MED_pr-HIGH.mp4,LT0003_40-00175_01-cd-HIGH_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00175_01.ch5,39,LOW
LT0003_40,179,H11,MED,HIGH,LOW,0.017707,1.870592,-0.683111,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00179_01-cd-MED_ms-HIGH_pr-LOW.mp4,LT0003_40-00179_01-cd-MED_ms-HIGH_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00179_01.ch5,52,MED
LT0003_40,181,H13,LOW,MED,HIGH,-0.001592,0.139738,1.674031,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00181_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00181_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00181_01.ch5,63,MED
LT0003_40,185,H17,MED,LOW,LOW,0.040759,-0.815039,-0.916878,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00185_01-cd-MED_ms-LOW_pr-LOW.mp4,LT0003_40-00185_01-cd-MED_ms-LOW_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00185_01.ch5,30,LOW
LT0003_40,187,H19,LOW,LOW,MED,-0.004019,-0.096987,0.404801,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00187_01-cd-LOW_ms-LOW_pr-MED.mp4,LT0003_40-00187_01-cd-LOW_ms-LOW_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00187_01.ch5,32,LOW
LT0003_40,190,H22,HIGH,LOW,MED,0.082087,-0.165383,-0.416878,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00190_01-cd-HIGH_ms-LOW_pr-MED.mp4,LT0003_40-00190_01-cd-HIGH_ms-LOW_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00190_01.ch5,26,LOW
LT0003_40,199,I7,HIGH,MED,LOW,0.057083,0.107338,-1.125969,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00199_01-cd-HIGH_ms-MED_pr-LOW.mp4,LT0003_40-00199_01-cd-HIGH_ms-MED_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00199_01.ch5,36,LOW
LT0003_40,203,I11,MED,HIGH,HIGH,-0.001133,0.9882,0.942688,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00203_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00203_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00203_01.ch5,90,MED
LT0003_40,204,I12,MED,HIGH,HIGH,0.000848,1.028293,0.824031,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00204_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00204_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00204_01.ch5,30,LOW
LT0003_40,205,I13,LOW,MED,HIGH,-0.00362,0.613215,0.736531,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00205_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00205_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00205_01.ch5,95,MED
LT0003_40,206,I14,MED,HIGH,HIGH,0.01487,1.822114,0.929351,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00206_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00206_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00206_01.ch5,68,MED
LT0003_40,207,I15,LOW,MED,HIGH,-0.003686,0.670184,1.092636,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00207_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00207_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00207_01.ch5,52,MED
LT0003_40,209,I17,LOW,HIGH,MED,-0.004742,1.327032,-0.502439,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00209_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00209_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00209_01.ch5,24,LOW
LT0003_40,216,I24,MED,HIGH,LOW,-0.000991,2.558541,-0.765969,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00216_01-cd-MED_ms-HIGH_pr-LOW.mp4,LT0003_40-00216_01-cd-MED_ms-HIGH_pr-LOW.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00216_01.ch5,32,LOW
LT0003_40,217,J1,LOW,MED,HIGH,-0.001966,0.652254,1.579914,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00217_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00217_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00217_01.ch5,105,MED
